iter	Passed	Remaining
946	9053	506
947	9062	497
948	9072	487
949	9081	477
950	9091	468
951	9104	459
952	9117	449
953	9130	440
954	9143	430
955	9155	421
956	9166	411
957	9177	402
958	9189	392
959	9201	383
960	9213	373
961	9228	364
962	9241	355
963	9257	345
964	9269	336
965	9280	326
966	9292	317
967	9303	307
968	9313	297
969	9324	288
970	9335	278
971	9346	269
972	9359	259
973	9367	250
974	9381	240
975	9396	231
976	9409	221
977	9425	212
978	9441	202
979	9456	192
980	9472	183
981	9488	173
982	9510	164
983	9526	154
984	9542	145
985	9560	135
986	9571	126
987	9589	116
988	9607	106
989	9636	97
990	9648	87
991	9661	77
992	9674	68
993	9689	58
994	9700	48
995	9712	39
996	9726	29
997	9738	19
998	9749	9
999	9762	0
